Index,Name,URL,Description,Type of Proficiency,Proficiencies,Image,Speed,Size,Language
adult-silver-dragon,Adult Silver Dragon,/api/monsters/adult-silver-dragon,,dragon,"[{'value': 5, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 12, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 6, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 10, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 8, 'proficiency': {'index': 'skill-arcana', 'name': 'Skill: Arcana', 'url': '/api/proficiencies/skill-arcana'}}, {'value': 8, 'proficiency': {'index': 'skill-history', 'name': 'Skill: History', 'url': '/api/proficiencies/skill-history'}}, {'value': 11, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 5, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/adult-silver-dragon.png,"{'walk': '40 ft.', 'fly': '80 ft.'}",Huge,"Common, Draconic"
adult-white-dragon,Adult White Dragon,/api/monsters/adult-white-dragon,,dragon,"[{'value': 5, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 11, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 6, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 6, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 11, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 5, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/adult-white-dragon.png,"{'walk': '40 ft.', 'burrow': '30 ft.', 'fly': '80 ft.', 'swim': '40 ft.'}",Huge,"Common, Draconic"
air-elemental,Air Elemental,/api/monsters/air-elemental,,elemental,[],/api/images/monsters/air-elemental.png,"{'fly': '90 ft.', 'hover': True}",Large,Auran
ancient-black-dragon,Ancient Black Dragon,/api/monsters/ancient-black-dragon,,dragon,"[{'value': 9, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 14, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 9, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 11, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 16, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 9, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/ancient-black-dragon.png,"{'walk': '40 ft.', 'fly': '80 ft.', 'swim': '40 ft.'}",Gargantuan,"Common, Draconic"
ancient-blue-dragon,Ancient Blue Dragon,/api/monsters/ancient-blue-dragon,,dragon,"[{'value': 7, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 15, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 10, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 12, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 17, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 7, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/ancient-blue-dragon.png,"{'walk': '40 ft.', 'burrow': '40 ft.', 'fly': '80 ft.'}",Gargantuan,"Common, Draconic"
ancient-brass-dragon,Ancient Brass Dragon,/api/monsters/ancient-brass-dragon,,dragon,"[{'value': 6, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 13, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 8, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 10, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 9, 'proficiency': {'index': 'skill-history', 'name': 'Skill: History', 'url': '/api/proficiencies/skill-history'}}, {'value': 14, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 10, 'proficiency': {'index': 'skill-persuasion', 'name': 'Skill: Persuasion', 'url': '/api/proficiencies/skill-persuasion'}}, {'value': 6, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/ancient-brass-dragon.png,"{'walk': '40 ft.', 'burrow': '40 ft.', 'fly': '80 ft.'}",Gargantuan,"Common, Draconic"
ancient-bronze-dragon,Ancient Bronze Dragon,/api/monsters/ancient-bronze-dragon,,dragon,"[{'value': 7, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 15, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 10, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 12, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 10, 'proficiency': {'index': 'skill-insight', 'name': 'Skill: Insight', 'url': '/api/proficiencies/skill-insight'}}, {'value': 17, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 7, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/ancient-bronze-dragon.png,"{'walk': '40 ft.', 'fly': '80 ft.', 'swim': '40 ft.'}",Gargantuan,"Common, Draconic"
ancient-copper-dragon,Ancient Copper Dragon,/api/monsters/ancient-copper-dragon,,dragon,"[{'value': 8, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 14, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 10, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 11, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 11, 'proficiency': {'index': 'skill-deception', 'name': 'Skill: Deception', 'url': '/api/proficiencies/skill-deception'}}, {'value': 17, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 8, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/ancient-copper-dragon.png,"{'walk': '40 ft.', 'climb': '40 ft.', 'fly': '80 ft.'}",Gargantuan,"Common, Draconic"
ancient-gold-dragon,Ancient Gold Dragon,/api/monsters/ancient-gold-dragon,,dragon,"[{'value': 9, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 16, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 10, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 16, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 10, 'proficiency': {'index': 'skill-insight', 'name': 'Skill: Insight', 'url': '/api/proficiencies/skill-insight'}}, {'value': 17, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 16, 'proficiency': {'index': 'skill-persuasion', 'name': 'Skill: Persuasion', 'url': '/api/proficiencies/skill-persuasion'}}, {'value': 9, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/ancient-gold-dragon.png,"{'walk': '40 ft.', 'fly': '80 ft.', 'swim': '40 ft.'}",Gargantuan,"Common, Draconic"
ancient-green-dragon,Ancient Green Dragon,/api/monsters/ancient-green-dragon,,dragon,"[{'value': 8, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 14, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 10, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 11, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 11, 'proficiency': {'index': 'skill-deception', 'name': 'Skill: Deception', 'url': '/api/proficiencies/skill-deception'}}, {'value': 10, 'proficiency': {'index': 'skill-insight', 'name': 'Skill: Insight', 'url': '/api/proficiencies/skill-insight'}}, {'value': 17, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 11, 'proficiency': {'index': 'skill-persuasion', 'name': 'Skill: Persuasion', 'url': '/api/proficiencies/skill-persuasion'}}, {'value': 8, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/ancient-green-dragon.png,"{'walk': '40 ft.', 'fly': '80 ft.', 'swim': '40 ft.'}",Gargantuan,"Common, Draconic"
ancient-red-dragon,Ancient Red Dragon,/api/monsters/ancient-red-dragon,,dragon,"[{'value': 7, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 16, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 9, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 13, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 16, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 7, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/ancient-red-dragon.png,"{'walk': '40 ft.', 'climb': '40 ft.', 'fly': '80 ft.'}",Gargantuan,"Common, Draconic"
ancient-silver-dragon,Ancient Silver Dragon,/api/monsters/ancient-silver-dragon,,dragon,"[{'value': 7, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 16, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 9, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 13, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 11, 'proficiency': {'index': 'skill-arcana', 'name': 'Skill: Arcana', 'url': '/api/proficiencies/skill-arcana'}}, {'value': 11, 'proficiency': {'index': 'skill-history', 'name': 'Skill: History', 'url': '/api/proficiencies/skill-history'}}, {'value': 16, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 7, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/ancient-silver-dragon.png,"{'walk': '40 ft.', 'fly': '80 ft.'}",Gargantuan,"Common, Draconic"
ancient-white-dragon,Ancient White Dragon,/api/monsters/ancient-white-dragon,,dragon,"[{'value': 6, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 14, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 7, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 8, 'proficiency': {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}}, {'value': 13, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 6, 'proficiency': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}]",/api/images/monsters/ancient-white-dragon.png,"{'walk': '40 ft.', 'burrow': '40 ft.', 'fly': '80 ft.', 'swim': '40 ft.'}",Gargantuan,"Common, Draconic"
androsphinx,Androsphinx,/api/monsters/androsphinx,,monstrosity,"[{'value': 6, 'proficiency': {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}}, {'value': 11, 'proficiency': {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}}, {'value': 9, 'proficiency': {'index': 'saving-throw-int', 'name': 'Saving Throw: INT', 'url': '/api/proficiencies/saving-throw-int'}}, {'value': 10, 'proficiency': {'index': 'saving-throw-wis', 'name': 'Saving Throw: WIS', 'url': '/api/proficiencies/saving-throw-wis'}}, {'value': 9, 'proficiency': {'index': 'skill-arcana', 'name': 'Skill: Arcana', 'url': '/api/proficiencies/skill-arcana'}}, {'value': 10, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'value': 15, 'proficiency': {'index': 'skill-religion', 'name': 'Skill: Religion', 'url': '/api/proficiencies/skill-religion'}}]",/api/images/monsters/androsphinx.png,"{'walk': '40 ft.', 'fly': '60 ft.'}",Large,"Common, Sphinx"
animated-armor,Animated Armor,/api/monsters/animated-armor,,construct,[],/api/images/monsters/animated-armor.png,{'walk': '25 ft.'},Medium,
ankheg,Ankheg,/api/monsters/ankheg,,monstrosity,[],/api/images/monsters/ankheg.png,"{'walk': '30 ft.', 'burrow': '10 ft.'}",Large,
ape,Ape,/api/monsters/ape,,beast,"[{'value': 5, 'proficiency': {'index': 'skill-athletics', 'name': 'Skill: Athletics', 'url': '/api/proficiencies/skill-athletics'}}, {'value': 3, 'proficiency': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}]",/api/images/monsters/ape.png,"{'walk': '30 ft.', 'climb': '30 ft.'}",Medium,
