Index,Name,URL,Description,Reference,Prerequisites,Level,Parent,Feature Specific
aura-of-protection,Aura of Protection,/api/features/aura-of-protection,"['Starting at 6th level, whenever you or a friendly creature within 10 feet of you must make a saving throw, the creature gains a bonus to the saving throw equal to your Charisma modifier (with a minimum bonus of +1). You must be conscious to grant this bonus.', 'At 18th level, the range of this aura increases to 30 feet.']",,[],6,,
barbarian-ability-score-improvement-1,Ability Score Improvement,/api/features/barbarian-ability-score-improvement-1,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],4,,
barbarian-ability-score-improvement-2,Ability Score Improvement,/api/features/barbarian-ability-score-improvement-2,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],8,,
barbarian-ability-score-improvement-3,Ability Score Improvement,/api/features/barbarian-ability-score-improvement-3,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],12,,
barbarian-ability-score-improvement-4,Ability Score Improvement,/api/features/barbarian-ability-score-improvement-4,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],16,,
barbarian-ability-score-improvement-5,Ability Score Improvement,/api/features/barbarian-ability-score-improvement-5,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],19,,
barbarian-extra-attack,Extra Attack,/api/features/barbarian-extra-attack,"['Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn.']",,[],5,,
barbarian-unarmored-defense,Unarmored Defense,/api/features/barbarian-unarmored-defense,"['While you are not wearing any armor, your Armor Class equals 10 + your Dexterity modifier + your Constitution modifier. You can use a shield and still gain this benefit.']",,[],1,,
bard-ability-score-improvement-1,Ability Score Improvement,/api/features/bard-ability-score-improvement-1,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],4,,
bard-ability-score-improvement-2,Ability Score Improvement,/api/features/bard-ability-score-improvement-2,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],8,,
bard-ability-score-improvement-3,Ability Score Improvement,/api/features/bard-ability-score-improvement-3,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],12,,
bard-ability-score-improvement-4,Ability Score Improvement,/api/features/bard-ability-score-improvement-4,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],16,,
bard-ability-score-improvement-5,Ability Score Improvement,/api/features/bard-ability-score-improvement-5,"[""When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.""]",,[],19,,
bard-college,Bard College,/api/features/bard-college,"['At 3rd level, you delve into the advanced techniques of a bard college of your choice, such as the College of Lore. Your choice grants you features at 3rd level and again at 6th and 14th level.']",,[],3,,
bard-expertise-1,Expertise,/api/features/bard-expertise-1,"['At 3rd level, choose two of your skill proficiencies. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies. At 10th level, you can choose another two skill proficiencies to gain this benefit.']",,[],3,,"{'expertise_options': {'choose': 2, 'type': 'proficiency', 'from': {'option_set_type': 'options_array', 'options': [{'option_type': 'reference', 'item': {'index': 'skill-acrobatics', 'name': 'Skill: Acrobatics', 'url': '/api/proficiencies/skill-acrobatics'}}, {'option_type': 'reference', 'item': {'index': 'skill-animal-handling', 'name': 'Skill: Animal Handling', 'url': '/api/proficiencies/skill-animal-handling'}}, {'option_type': 'reference', 'item': {'index': 'skill-arcana', 'name': 'Skill: Arcana', 'url': '/api/proficiencies/skill-arcana'}}, {'option_type': 'reference', 'item': {'index': 'skill-athletics', 'name': 'Skill: Athletics', 'url': '/api/proficiencies/skill-athletics'}}, {'option_type': 'reference', 'item': {'index': 'skill-deception', 'name': 'Skill: Deception', 'url': '/api/proficiencies/skill-deception'}}, {'option_type': 'reference', 'item': {'index': 'skill-history', 'name': 'Skill: History', 'url': '/api/proficiencies/skill-history'}}, {'option_type': 'reference', 'item': {'index': 'skill-insight', 'name': 'Skill: Insight', 'url': '/api/proficiencies/skill-insight'}}, {'option_type': 'reference', 'item': {'index': 'skill-intimidation', 'name': 'Skill: Intimidation', 'url': '/api/proficiencies/skill-intimidation'}}, {'option_type': 'reference', 'item': {'index': 'skill-investigation', 'name': 'Skill: Investigation', 'url': '/api/proficiencies/skill-investigation'}}, {'option_type': 'reference', 'item': {'index': 'skill-medicine', 'name': 'Skill: Medicine', 'url': '/api/proficiencies/skill-medicine'}}, {'option_type': 'reference', 'item': {'index': 'skill-nature', 'name': 'Skill: Nature', 'url': '/api/proficiencies/skill-nature'}}, {'option_type': 'reference', 'item': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'option_type': 'reference', 'item': {'index': 'skill-performance', 'name': 'Skill: Performance', 'url': '/api/proficiencies/skill-performance'}}, {'option_type': 'reference', 'item': {'index': 'skill-persuasion', 'name': 'Skill: Persuasion', 'url': '/api/proficiencies/skill-persuasion'}}, {'option_type': 'reference', 'item': {'index': 'skill-religion', 'name': 'Skill: Religion', 'url': '/api/proficiencies/skill-religion'}}, {'option_type': 'reference', 'item': {'index': 'skill-sleight-of-hand', 'name': 'Skill: Sleight of Hand', 'url': '/api/proficiencies/skill-sleight-of-hand'}}, {'option_type': 'reference', 'item': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}, {'option_type': 'reference', 'item': {'index': 'skill-survival', 'name': 'Skill: Survival', 'url': '/api/proficiencies/skill-survival'}}]}}, 'invocations': []}"
bard-expertise-2,Expertise,/api/features/bard-expertise-2,"['At 3rd level, choose two of your skill proficiencies. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies. At 10th level, you can choose another two skill proficiencies to gain this benefit.']",,[],10,,"{'expertise_options': {'choose': 2, 'type': 'proficiency', 'from': {'option_set_type': 'options_array', 'options': [{'option_type': 'reference', 'item': {'index': 'skill-acrobatics', 'name': 'Skill: Acrobatics', 'url': '/api/proficiencies/skill-acrobatics'}}, {'option_type': 'reference', 'item': {'index': 'skill-animal-handling', 'name': 'Skill: Animal Handling', 'url': '/api/proficiencies/skill-animal-handling'}}, {'option_type': 'reference', 'item': {'index': 'skill-arcana', 'name': 'Skill: Arcana', 'url': '/api/proficiencies/skill-arcana'}}, {'option_type': 'reference', 'item': {'index': 'skill-athletics', 'name': 'Skill: Athletics', 'url': '/api/proficiencies/skill-athletics'}}, {'option_type': 'reference', 'item': {'index': 'skill-deception', 'name': 'Skill: Deception', 'url': '/api/proficiencies/skill-deception'}}, {'option_type': 'reference', 'item': {'index': 'skill-history', 'name': 'Skill: History', 'url': '/api/proficiencies/skill-history'}}, {'option_type': 'reference', 'item': {'index': 'skill-insight', 'name': 'Skill: Insight', 'url': '/api/proficiencies/skill-insight'}}, {'option_type': 'reference', 'item': {'index': 'skill-intimidation', 'name': 'Skill: Intimidation', 'url': '/api/proficiencies/skill-intimidation'}}, {'option_type': 'reference', 'item': {'index': 'skill-investigation', 'name': 'Skill: Investigation', 'url': '/api/proficiencies/skill-investigation'}}, {'option_type': 'reference', 'item': {'index': 'skill-medicine', 'name': 'Skill: Medicine', 'url': '/api/proficiencies/skill-medicine'}}, {'option_type': 'reference', 'item': {'index': 'skill-nature', 'name': 'Skill: Nature', 'url': '/api/proficiencies/skill-nature'}}, {'option_type': 'reference', 'item': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'option_type': 'reference', 'item': {'index': 'skill-performance', 'name': 'Skill: Performance', 'url': '/api/proficiencies/skill-performance'}}, {'option_type': 'reference', 'item': {'index': 'skill-persuasion', 'name': 'Skill: Persuasion', 'url': '/api/proficiencies/skill-persuasion'}}, {'option_type': 'reference', 'item': {'index': 'skill-religion', 'name': 'Skill: Religion', 'url': '/api/proficiencies/skill-religion'}}, {'option_type': 'reference', 'item': {'index': 'skill-sleight-of-hand', 'name': 'Skill: Sleight of Hand', 'url': '/api/proficiencies/skill-sleight-of-hand'}}, {'option_type': 'reference', 'item': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}, {'option_type': 'reference', 'item': {'index': 'skill-survival', 'name': 'Skill: Survival', 'url': '/api/proficiencies/skill-survival'}}]}}, 'invocations': []}"
bardic-inspiration-d10,Bardic Inspiration (d10),/api/features/bardic-inspiration-d10,"['You can inspire others through stirring words or music. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Bardic Inspiration die, a d6. Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the d20 before deciding to use the Bardic Inspiration die, but must decide before the GM says whether the roll succeeds or fails. Once the Bardic Inspiration die is rolled, it is lost. A creature can have only one Bardic Inspiration die at a time.', 'You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain any expended uses when you finish a long rest. ', 'Your Bardic Inspiration die changes when you reach certain levels in this class. The die becomes a d8 at 5th level, a d10 at 10th level, and a d12 at 15th level.']",,[],10,,
bardic-inspiration-d12,Bardic Inspiration (d12),/api/features/bardic-inspiration-d12,"['You can inspire others through stirring words or music. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Bardic Inspiration die, a d6. Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the d20 before deciding to use the Bardic Inspiration die, but must decide before the GM says whether the roll succeeds or fails. Once the Bardic Inspiration die is rolled, it is lost. A creature can have only one Bardic Inspiration die at a time.', 'You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain any expended uses when you finish a long rest. ', 'Your Bardic Inspiration die changes when you reach certain levels in this class. The die becomes a d8 at 5th level, a d10 at 10th level, and a d12 at 15th level.']",,[],15,,
bardic-inspiration-d6,Bardic Inspiration (d6),/api/features/bardic-inspiration-d6,"['You can inspire others through stirring words or music. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Bardic Inspiration die, a d6. Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the d20 before deciding to use the Bardic Inspiration die, but must decide before the GM says whether the roll succeeds or fails. Once the Bardic Inspiration die is rolled, it is lost. A creature can have only one Bardic Inspiration die at a time.', 'You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain any expended uses when you finish a long rest. ', 'Your Bardic Inspiration die changes when you reach certain levels in this class. The die becomes a d8 at 5th level, a d10 at 10th level, and a d12 at 15th level.']",,[],1,,
bardic-inspiration-d8,Bardic Inspiration (d8),/api/features/bardic-inspiration-d8,"['You can inspire others through stirring words or music. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Bardic Inspiration die, a d6. Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the d20 before deciding to use the Bardic Inspiration die, but must decide before the GM says whether the roll succeeds or fails. Once the Bardic Inspiration die is rolled, it is lost. A creature can have only one Bardic Inspiration die at a time.', 'You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain any expended uses when you finish a long rest. ', 'Your Bardic Inspiration die changes when you reach certain levels in this class. The die becomes a d8 at 5th level, a d10 at 10th level, and a d12 at 15th level.']",,[],5,,
beast-spells,Beast Spells,/api/features/beast-spells,"[""Beginning at 18th level, you can cast many of your druid spells in any shape you assume using Wild Shape. You can perform the somatic and verbal components of a druid spell while in a beast shape, but you aren't able to provide material components.""]",,[],18,,
blessed-healer,Blessed Healer,/api/features/blessed-healer,"[""Beginning at 6th level, the healing spells you cast on others heal you as well. When you cast a spell of 1st level or higher that restores hit points to a creature other than you, you regain hit points equal to 2 + the spell's level.""]",,[],6,,
blindsense,Blindsense,/api/features/blindsense,"['Starting at 14th level, if you are able to hear, you are aware of the location of any hidden or invisible creature within 10 feet of you.']",,[],14,,
bonus-cantrip,Bonus Cantrip,/api/features/bonus-cantrip,"['When you choose this circle at 2nd level, you learn one additional druid cantrip of your choice.']",,[],2,,
bonus-proficiencies,Bonus Proficiencies,/api/features/bonus-proficiencies,"['When you join the College of Lore at 3rd level, you gain proficiency with three skills of your choice.']",,[],3,,
bonus-proficiency,Bonus Proficiency,/api/features/bonus-proficiency,"['When you choose this domain at 1st level, you gain proficiency with heavy armor.']",,[],1,,
brutal-critical-1-die,Brutal Critical (1 die),/api/features/brutal-critical-1-die,"['Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack. This increases to two additional dice at 13th level and three additional dice at 17th level.']",,[],9,,
brutal-critical-2-dice,Brutal Critical (2 dice),/api/features/brutal-critical-2-dice,"['Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack. This increases to two additional dice at 13th level and three additional dice at 17th level.']",,[],13,,
brutal-critical-3-dice,Brutal Critical (3 dice),/api/features/brutal-critical-3-dice,"['Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack. This increases to two additional dice at 13th level and three additional dice at 17th level.']",,[],17,,
channel-divinity,Channel Divinity,/api/features/channel-divinity,"['Your oath allows you to channel divine energy to fuel magical effects. Each Channel Divinity option provided by your oath explains how to use it.', 'When you use your Channel Divinity, you choose which option to use. You must then finish a short or long rest to use your Channel Divinity again.', 'Some Channel Divinity effects require saving throws. When you use such an effect from this class, the DC equals your paladin spell save DC.']",,[],3,,
channel-divinity-1-rest,Channel Divinity (1/rest),/api/features/channel-divinity-1-rest,"['At 2nd level, you gain the ability to channel divine energy directly from your deity, using that energy to fuel magical effects. You start with two such effects: Turn Undead and an effect determined by your domain. Some domains grant you additional effects as you advance in levels, as noted in the domain description.', 'When you use your Channel Divinity, you choose which effect to create. You must then finish a short or long rest to use your Channel Divinity again.', 'Some Channel Divinity effects require saving throws. When you use such an effect from this class, the DC equals your cleric spell save DC.', 'Beginning at 6th level, you can use your Channel Divinity twice between rests, and beginning at 18th level, you can use it three times between rests. When you finish a short or long rest, you regain your expended uses.']",,[],2,,
channel-divinity-2-rest,Channel Divinity (2/rest),/api/features/channel-divinity-2-rest,"['Beginning at 6th level, you can use your Channel Divinity twice between rests, and beginning at 18th level, you can use it three times between rests. When you finish a short or long rest, you regain your expended uses.']",,[],6,,
channel-divinity-3-rest,Channel Divinity (3/rest),/api/features/channel-divinity-3-rest,"['Beginning at 6th level, you can use your Channel Divinity twice between rests, and beginning at 18th level, you can use it three times between rests. When you finish a short or long rest, you regain your expended uses.']",,[],18,,
channel-divinity-preserve-life,Channel Divinity: Preserve Life,/api/features/channel-divinity-preserve-life,"['Starting at 2nd level, you can use your Channel Divinity to heal the badly injured.', 'As an action, you present your holy symbol and evoke healing energy that can restore a number of hit points equal to five times your cleric level.', ""Choose any creatures within 30 feet of you, and divide those hit points among them. This feature can restore a creature to no more than half of its hit point maximum. You can't use this feature on an undead or a construct.""]",,[],2,,
channel-divinity-sacred-weapon,Channel Divinity: Sacred Weapon,/api/features/channel-divinity-sacred-weapon,"['As an action, you can imbue one weapon that you are holding with positive energy, using your Channel Divinity. For 1 minute, you add your Charisma modifier to attack rolls made with that weapon (with a minimum bonus of +1). The weapon also emits bright light in a 20-foot radius and dim light 20 feet beyond that. If the weapon is not already magical, it becomes magical for the duration.', 'You can end this effect on your turn as part of any other action. If you are no longer holding or carrying this weapon, or if you fall unconscious, this effect ends.']",,[],3,,
channel-divinity-turn-the-unholy,Channel Divinity: Turn the Unholy,/api/features/channel-divinity-turn-the-unholy,"['As an action, you present your holy symbol and speak a prayer censuring fiends and undead, using your Channel Divinity. Each fiend or undead that can see or hear you within 30 feet of you must make a Wisdom saving throw. If the creature fails its saving throw, it is turned for 1 minute or until it takes damage.', ""A turned creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the Dash action or try to escape from an effect that prevents it from moving. If there's nowhere to move, the creature can use the Dodge action.""]",,[],3,,
channel-divinity-turn-undead,Channel Divinity: Turn Undead,/api/features/channel-divinity-turn-undead,"['As an action, you present your holy symbol and speak a prayer censuring the undead. Each undead that can see or hear you within 30 feet of you must make a Wisdom saving throw. If the creature fails its saving throw, it is turned for 1 minute or until it takes any damage.', ""A turned creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the Dash action or try to escape from an effect that prevents it from moving. If there's nowhere to move, the creature can use the Dodge action.""]",,[],2,,
circle-of-the-land,Circle of the Land,/api/features/circle-of-the-land,"[""The Circle of the Land is made up of mystics and sages who safeguard ancient knowledge and rites through a vast oral tradition. These druids meet within sacred circles of trees or standing stones to whisper primal secrets in Druidic. The circle's wisest members preside as the chief priests of communities that hold to the Old Faith and serve as advisors to the rulers of those folk. As a member of this circle, your magic is influenced by the land where you were initiated into the circle's mysterious rites.""]",,[],2,,"{'subfeature_options': {'choose': 1, 'type': 'feature', 'from': {'option_set_type': 'options_array', 'options': [{'option_type': 'reference', 'item': {'index': 'circle-of-the-land-arctic', 'name': 'Circle of the Land: Arctic', 'url': '/api/features/circle-of-the-land-arctic'}}, {'option_type': 'reference', 'item': {'index': 'circle-of-the-land-coast', 'name': 'Circle of the Land: Coast', 'url': '/api/features/circle-of-the-land-coast'}}, {'option_type': 'reference', 'item': {'index': 'circle-of-the-land-desert', 'name': 'Circle of the Land: Desert', 'url': '/api/features/circle-of-the-land-desert'}}, {'option_type': 'reference', 'item': {'index': 'circle-of-the-land-forest', 'name': 'Circle of the Land: Forest', 'url': '/api/features/circle-of-the-land-forest'}}, {'option_type': 'reference', 'item': {'index': 'circle-of-the-land-grassland', 'name': 'Circle of the Land: Grassland', 'url': '/api/features/circle-of-the-land-grassland'}}, {'option_type': 'reference', 'item': {'index': 'circle-of-the-land-mountain', 'name': 'Circle of the Land: Mountain', 'url': '/api/features/circle-of-the-land-mountain'}}, {'option_type': 'reference', 'item': {'index': 'circle-of-the-land-swamp', 'name': 'Circle of the Land: Swamp', 'url': '/api/features/circle-of-the-land-swamp'}}]}}, 'invocations': []}"
circle-of-the-land-arctic,Circle of the Land: Arctic,/api/features/circle-of-the-land-arctic,"[""The Circle of the Land is made up of mystics and sages who safeguard ancient knowledge and rites through a vast oral tradition. These druids meet within sacred circles of trees or standing stones to whisper primal secrets in Druidic. The circle's wisest members preside as the chief priests of communities that hold to the Old Faith and serve as advisors to the rulers of those folk. As a member of this circle, your magic is influenced by the land where you were initiated into the circle's mysterious rites.""]",,[],2,"{'index': 'circle-of-the-land', 'name': 'Circle of the Land', 'url': '/api/features/circle-of-the-land'}",
circle-of-the-land-coast,Circle of the Land: Coast,/api/features/circle-of-the-land-coast,"[""The Circle of the Land is made up of mystics and sages who safeguard ancient knowledge and rites through a vast oral tradition. These druids meet within sacred circles of trees or standing stones to whisper primal secrets in Druidic. The circle's wisest members preside as the chief priests of communities that hold to the Old Faith and serve as advisors to the rulers of those folk. As a member of this circle, your magic is influenced by the land where you were initiated into the circle's mysterious rites.""]",,[],2,"{'index': 'circle-of-the-land', 'name': 'Circle of the Land', 'url': '/api/features/circle-of-the-land'}",
circle-of-the-land-desert,Circle of the Land: Desert,/api/features/circle-of-the-land-desert,"[""The Circle of the Land is made up of mystics and sages who safeguard ancient knowledge and rites through a vast oral tradition. These druids meet within sacred circles of trees or standing stones to whisper primal secrets in Druidic. The circle's wisest members preside as the chief priests of communities that hold to the Old Faith and serve as advisors to the rulers of those folk. As a member of this circle, your magic is influenced by the land where you were initiated into the circle's mysterious rites.""]",,[],2,"{'index': 'circle-of-the-land', 'name': 'Circle of the Land', 'url': '/api/features/circle-of-the-land'}",
circle-of-the-land-forest,Circle of the Land: Forest,/api/features/circle-of-the-land-forest,"[""The Circle of the Land is made up of mystics and sages who safeguard ancient knowledge and rites through a vast oral tradition. These druids meet within sacred circles of trees or standing stones to whisper primal secrets in Druidic. The circle's wisest members preside as the chief priests of communities that hold to the Old Faith and serve as advisors to the rulers of those folk. As a member of this circle, your magic is influenced by the land where you were initiated into the circle's mysterious rites.""]",,[],2,"{'index': 'circle-of-the-land', 'name': 'Circle of the Land', 'url': '/api/features/circle-of-the-land'}",
circle-of-the-land-grassland,Circle of the Land: Grassland,/api/features/circle-of-the-land-grassland,"[""The Circle of the Land is made up of mystics and sages who safeguard ancient knowledge and rites through a vast oral tradition. These druids meet within sacred circles of trees or standing stones to whisper primal secrets in Druidic. The circle's wisest members preside as the chief priests of communities that hold to the Old Faith and serve as advisors to the rulers of those folk. As a member of this circle, your magic is influenced by the land where you were initiated into the circle's mysterious rites.""]",,[],2,"{'index': 'circle-of-the-land', 'name': 'Circle of the Land', 'url': '/api/features/circle-of-the-land'}",
circle-of-the-land-mountain,Circle of the Land: Mountain,/api/features/circle-of-the-land-mountain,"[""The Circle of the Land is made up of mystics and sages who safeguard ancient knowledge and rites through a vast oral tradition. These druids meet within sacred circles of trees or standing stones to whisper primal secrets in Druidic. The circle's wisest members preside as the chief priests of communities that hold to the Old Faith and serve as advisors to the rulers of those folk. As a member of this circle, your magic is influenced by the land where you were initiated into the circle's mysterious rites.""]",,[],2,"{'index': 'circle-of-the-land', 'name': 'Circle of the Land', 'url': '/api/features/circle-of-the-land'}",
circle-of-the-land-swamp,Circle of the Land: Swamp,/api/features/circle-of-the-land-swamp,"[""The Circle of the Land is made up of mystics and sages who safeguard ancient knowledge and rites through a vast oral tradition. These druids meet within sacred circles of trees or standing stones to whisper primal secrets in Druidic. The circle's wisest members preside as the chief priests of communities that hold to the Old Faith and serve as advisors to the rulers of those folk. As a member of this circle, your magic is influenced by the land where you were initiated into the circle's mysterious rites.""]",,[],2,"{'index': 'circle-of-the-land', 'name': 'Circle of the Land', 'url': '/api/features/circle-of-the-land'}",
circle-spells-1,Circle Spells,/api/features/circle-spells-1,"['Your mystical connection to the land infuses you with the ability to cast certain spells. At 3rd, 5th, 7th, and 9th level you gain access to circle spells connected to the land where you became a druid.', 'Choose that land--arctic, coast, desert, forest, grassland, mountain, or swamp--and consult the associated list of spells.', ""Once you gain access to a circle spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day. If you gain access to a spell that doesn't appear on the druid spell list, the spell is nonetheless a druid spell for you.""]",,[],3,,
circle-spells-2,Circle Spells,/api/features/circle-spells-2,"['Your mystical connection to the land infuses you with the ability to cast certain spells. At 3rd, 5th, 7th, and 9th level you gain access to circle spells connected to the land where you became a druid.', 'Choose that land--arctic, coast, desert, forest, grassland, mountain, or swamp--and consult the associated list of spells.', ""Once you gain access to a circle spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day. If you gain access to a spell that doesn't appear on the druid spell list, the spell is nonetheless a druid spell for you.""]",,[],5,,
