6
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Index,Name,URL,Description,Skills,Abbrevisation,Starting Proficiencies,Language Options,Starting Equipment,Starting Equipment Options,Typical Speakers,Script,Type of Proficiency,Classes,Races,Reference,Hit Dice,Class Levels,Multiclassing,Prerequisites,Minimum Score,Prerequisite Options,Choose This Many,From This Thing,Proficiencies,Spellcasting,Level,Information,Spellcasting Abiility,Spells,Saving Throws,Subclasses,Cantrips,Spells Known,Spell Slot 1,Spell Slot 2,Spell Slot 3,Spell Slot 4,Spell Slot 5,Spell Slot 6,Spell Slot 7,Spell Slot 8,Spell Slot 9,Class Specific,Equipment,Image,Equipment Categories,Variants,Variant,Parent,Feature Specific,Speed,Ability Bonus,Bonus,Alignment,Age,Size,Size Description,Starting Proficiencies,Starting Proficiency Options,Language,Language Description,Traits,Higher Level,Range,Components,Material,Ritual,Duration,Concentration,Casting Time,Attack Type,Damage,School
chaotic-evil,Chaotic Evil,/api/alignments/chaotic-evil,"Chaotic evil (CE) creatures act with arbitrary violence, spurred by their greed, hatred, or bloodlust. Demons, red dragons, and orcs are chaotic evil.",,CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chaotic-good,Chaotic Good,/api/alignments/chaotic-good,"Chaotic good (CG) creatures act as their conscience directs, with little regard for what others expect. Copper dragons, many elves, and unicorns are chaotic good.",,CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chaotic-neutral,Chaotic Neutral,/api/alignments/chaotic-neutral,"Chaotic neutral (CN) creatures follow their whims, holding their personal freedom above all else. Many barbarians and rogues, and some bards, are chaotic neutral.",,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lawful-evil,Lawful Evil,/api/alignments/lawful-evil,"Lawful evil (LE) creatures methodically take what they want, within the limits of a code of tradition, loyalty, or order. Devils, blue dragons, and hobgoblins are lawful evil.",,LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lawful-good,Lawful Good,/api/alignments/lawful-good,"Lawful good (LG) creatures can be counted on to do the right thing as expected by society. Gold dragons, paladins, and most dwarves are lawful good.",,LG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lawful-neutral,Lawful Neutral,/api/alignments/lawful-neutral,"Lawful neutral (LN) individuals act in accordance with law, tradition, or personal codes. Many monks and some wizards are lawful neutral.",,LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Neutral,/api/alignments/neutral,"Neutral (N) is the alignment of those who prefer to steer clear of moral questions and don't take sides, doing what seems best at the time. Lizardfolk, most druids, and many humans are neutral.",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral-evil,Neutral Evil,/api/alignments/neutral-evil,"Neutral evil (NE) is the alignment of those who do whatever they can get away with, without compassion or qualms. Many drow, some cloud giants, and goblins are neutral evil.",,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral-good,Neutral Good,/api/alignments/neutral-good,"Neutral good (NG) folk do the best they can to help others according to their needs. Many celestials, some cloud giants, and most gnomes are neutral good.",,NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Index,Name,URL,Description,Skills,Abbrevisation,Starting Proficiencies,Language Options,Starting Equipment,Starting Equipment Options,Typical Speakers,Script,Type of Proficiency,Classes,Races,Reference,Hit Dice,Class Levels,Multiclassing,Prerequisites,Minimum Score,Prerequisite Options,Choose This Many,From This Thing,Proficiencies,Spellcasting,Level,Information,Spellcasting Abiility,Spells,Saving Throws,Subclasses,Cantrips,Spells Known,Spell Slot 1,Spell Slot 2,Spell Slot 3,Spell Slot 4,Spell Slot 5,Spell Slot 6,Spell Slot 7,Spell Slot 8,Spell Slot 9,Class Specific,Equipment,Image,Equipment Categories,Variants,Variant,Parent,Feature Specific,Speed,Ability Bonus,Bonus,Alignment,Age,Size,Size Description,Starting Proficiencies,Starting Proficiency Options,Language,Language Description,Traits,Higher Level,Range,Components,Material,Ritual,Duration,Concentration,Casting Time,Attack Type,Damage,School
acolyte,Acolyte,/api/backgrounds/acolyte,,,,"[{'index': 'skill-insight', 'name': 'Skill: Insight', 'url': '/api/proficiencies/skill-insight'}, {'index': 'skill-religion', 'name': 'Skill: Religion', 'url': '/api/proficiencies/skill-religion'}]","{'choose': 2, 'type': 'languages', 'from': {'option_set_type': 'resource_list', 'resource_list_url': '/api/languages'}}","[{'equipment': {'index': 'clothes-common', 'name': 'Clothes, common', 'url': '/api/equipment/clothes-common'}, 'quantity': 1}, {'equipment': {'index': 'pouch', 'name': 'Pouch', 'url': '/api/equipment/pouch'}, 'quantity': 1}]","[{'choose': 1, 'type': 'equipment', 'from': {'option_set_type': 'equipment_category', 'equipment_category': {'index': 'holy-symbols', 'name': 'Holy Symbols', 'url': '/api/equipment-categories/holy-symbols'}}}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'index': 'skill-insight', 'name': 'Skill: Insight', 'url': '/api/proficiencies/skill-insight'}, {'index': 'skill-religion', 'name': 'Skill: Religion', 'url': '/api/proficiencies/skill-religion'}]",,,,,,,,,,,,,,,
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
12
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Index,Name,URL,Description,Skills,Abbrevisation,Starting Proficiencies,Language Options,Starting Equipment,Starting Equipment Options,Typical Speakers,Script,Type of Proficiency,Classes,Races,Reference,Hit Dice,Class Levels,Multiclassing,Prerequisites,Minimum Score,Prerequisite Options,Choose This Many,From This Thing,Proficiencies,Spellcasting,Level,Information,Spellcasting Abiility,Spells,Saving Throws,Subclasses,Cantrips,Spells Known,Spell Slot 1,Spell Slot 2,Spell Slot 3,Spell Slot 4,Spell Slot 5,Spell Slot 6,Spell Slot 7,Spell Slot 8,Spell Slot 9,Class Specific,Equipment,Image,Equipment Categories,Variants,Variant,Parent,Feature Specific,Speed,Ability Bonus,Bonus,Alignment,Age,Size,Size Description,Starting Proficiencies,Starting Proficiency Options,Language,Language Description,Traits,Higher Level,Range,Components,Material,Ritual,Duration,Concentration,Casting Time,Attack Type,Damage,School
barbarian,Barbarian,/api/classes/barbarian,,,,,,"[{'equipment': {'index': 'explorers-pack', 'name': ""Explorer's Pack"", 'url': '/api/equipment/explorers-pack'}, 'quantity': 1}, {'equipment': {'index': 'javelin', 'name': 'Javelin', 'url': '/api/equipment/javelin'}, 'quantity': 4}]","[{'desc': '(a) a greataxe or (b) any martial melee weapon', 'choose': 1, 'type': 'equipment', 'from': {'option_set_type': 'options_array', 'options': [{'option_type': 'counted_reference', 'count': 1, 'of': {'index': 'greataxe', 'name': 'Greataxe', 'url': '/api/equipment/greataxe'}}, {'option_type': 'choice', 'choice': {'desc': 'any martial melee weapon', 'choose': 1, 'type': 'equipment', 'from': {'option_set_type': 'equipment_category', 'equipment_category': {'index': 'martial-melee-weapons', 'name': 'Martial Melee Weapons', 'url': '/api/equipment-categories/martial-melee-weapons'}}}}]}}, {'desc': '(a) two handaxes or (b) any simple weapon', 'choose': 1, 'type': 'equipment', 'from': {'option_set_type': 'options_array', 'options': [{'option_type': 'counted_reference', 'count': 2, 'of': {'index': 'handaxe', 'name': 'Handaxe', 'url': '/api/equipment/handaxe'}}, {'option_type': 'choice', 'choice': {'desc': 'any simple weapon', 'choose': 1, 'type': 'equipment', 'from': {'option_set_type': 'equipment_category', 'equipment_category': {'index': 'simple-weapons', 'name': 'Simple Weapons', 'url': '/api/equipment-categories/simple-weapons'}}}}]}}]",,,,,,,12,/api/classes/barbarian/levels,"{'prerequisites': [{'ability_score': {'index': 'str', 'name': 'STR', 'url': '/api/ability-scores/str'}, 'minimum_score': 13}], 'proficiencies': [{'index': 'shields', 'name': 'Shields', 'url': '/api/proficiencies/shields'}, {'index': 'simple-weapons', 'name': 'Simple Weapons', 'url': '/api/proficiencies/simple-weapons'}, {'index': 'martial-weapons', 'name': 'Martial Weapons', 'url': '/api/proficiencies/martial-weapons'}]}",,,,,,"[{'index': 'light-armor', 'name': 'Light Armor', 'url': '/api/proficiencies/light-armor'}, {'index': 'medium-armor', 'name': 'Medium Armor', 'url': '/api/proficiencies/medium-armor'}, {'index': 'shields', 'name': 'Shields', 'url': '/api/proficiencies/shields'}, {'index': 'simple-weapons', 'name': 'Simple Weapons', 'url': '/api/proficiencies/simple-weapons'}, {'index': 'martial-weapons', 'name': 'Martial Weapons', 'url': '/api/proficiencies/martial-weapons'}, {'index': 'saving-throw-str', 'name': 'Saving Throw: STR', 'url': '/api/proficiencies/saving-throw-str'}, {'index': 'saving-throw-con', 'name': 'Saving Throw: CON', 'url': '/api/proficiencies/saving-throw-con'}]",,,,,,"[{'index': 'str', 'name': 'STR', 'url': '/api/ability-scores/str'}, {'index': 'con', 'name': 'CON', 'url': '/api/ability-scores/con'}]","[{'index': 'berserker', 'name': 'Berserker', 'url': '/api/subclasses/berserker'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bard,Bard,/api/classes/bard,,,,,,"[{'equipment': {'index': 'leather-armor', 'name': 'Leather Armor', 'url': '/api/equipment/leather-armor'}, 'quantity': 1}, {'equipment': {'index': 'dagger', 'name': 'Dagger', 'url': '/api/equipment/dagger'}, 'quantity': 1}]","[{'desc': '(a) a rapier, (b) a longsword, or (c) any simple weapon', 'choose': 1, 'type': 'equipment', 'from': {'option_set_type': 'options_array', 'options': [{'option_type': 'counted_reference', 'count': 1, 'of': {'index': 'rapier', 'name': 'Rapier', 'url': '/api/equipment/rapier'}}, {'option_type': 'counted_reference', 'count': 1, 'of': {'index': 'longsword', 'name': 'Longsword', 'url': '/api/equipment/longsword'}}, {'option_type': 'choice', 'choice': {'desc': 'any simple weapon', 'choose': 1, 'type': 'equipment', 'from': {'option_set_type': 'equipment_category', 'equipment_category': {'index': 'simple-weapons', 'name': 'Simple Weapons', 'url': '/api/equipment-categories/simple-weapons'}}}}]}}, {'desc': '(a) a diplomat’s pack or (b) an entertainer’s pack', 'choose': 1, 'type': 'equipment', 'from': {'option_set_type': 'options_array', 'options': [{'option_type': 'counted_reference', 'count': 1, 'of': {'index': 'diplomats-pack', 'name': ""Diplomat's Pack"", 'url': '/api/equipment/diplomats-pack'}}, {'option_type': 'counted_reference', 'count': 1, 'of': {'index': 'entertainers-pack', 'name': ""Entertainer's Pack"", 'url': '/api/equipment/entertainers-pack'}}]}}, {'desc': '(a) a lute or (b) any other musical instrument', 'choose': 1, 'type': 'equipment', 'from': {'option_set_type': 'options_array', 'options': [{'option_type': 'counted_reference', 'count': 1, 'of': {'index': 'lute', 'name': 'Lute', 'url': '/api/equipment/lute'}}, {'option_type': 'choice', 'choice': {'desc': 'any other musical instrument', 'choose': 1, 'type': 'equipment', 'from': {'option_set_type': 'equipment_category', 'equipment_category': {'index': 'musical-instruments', 'name': 'Musical Instruments', 'url': '/api/equipment-categories/musical-instruments'}}}}]}}]",,,,,,,8,/api/classes/bard/levels,"{'prerequisites': [{'ability_score': {'index': 'cha', 'name': 'CHA', 'url': '/api/ability-scores/cha'}, 'minimum_score': 13}], 'proficiencies': [{'index': 'light-armor', 'name': 'Light Armor', 'url': '/api/proficiencies/light-armor'}], 'proficiency_choices': [{'desc': 'skill', 'choose': 1, 'type': 'proficiencies', 'from': {'option_set_type': 'options_array', 'options': [{'option_type': 'reference', 'item': {'index': 'skill-acrobatics', 'name': 'Skill: Acrobatics', 'url': '/api/proficiencies/skill-acrobatics'}}, {'option_type': 'reference', 'item': {'index': 'skill-animal-handling', 'name': 'Skill: Animal Handling', 'url': '/api/proficiencies/skill-animal-handling'}}, {'option_type': 'reference', 'item': {'index': 'skill-arcana', 'name': 'Skill: Arcana', 'url': '/api/proficiencies/skill-arcana'}}, {'option_type': 'reference', 'item': {'index': 'skill-athletics', 'name': 'Skill: Athletics', 'url': '/api/proficiencies/skill-athletics'}}, {'option_type': 'reference', 'item': {'index': 'skill-deception', 'name': 'Skill: Deception', 'url': '/api/proficiencies/skill-deception'}}, {'option_type': 'reference', 'item': {'index': 'skill-history', 'name': 'Skill: History', 'url': '/api/proficiencies/skill-history'}}, {'option_type': 'reference', 'item': {'index': 'skill-insight', 'name': 'Skill: Insight', 'url': '/api/proficiencies/skill-insight'}}, {'option_type': 'reference', 'item': {'index': 'skill-intimidation', 'name': 'Skill: Intimidation', 'url': '/api/proficiencies/skill-intimidation'}}, {'option_type': 'reference', 'item': {'index': 'skill-investigation', 'name': 'Skill: Investigation', 'url': '/api/proficiencies/skill-investigation'}}, {'option_type': 'reference', 'item': {'index': 'skill-medicine', 'name': 'Skill: Medicine', 'url': '/api/proficiencies/skill-medicine'}}, {'option_type': 'reference', 'item': {'index': 'skill-nature', 'name': 'Skill: Nature', 'url': '/api/proficiencies/skill-nature'}}, {'option_type': 'reference', 'item': {'index': 'skill-perception', 'name': 'Skill: Perception', 'url': '/api/proficiencies/skill-perception'}}, {'option_type': 'reference', 'item': {'index': 'skill-performance', 'name': 'Skill: Performance', 'url': '/api/proficiencies/skill-performance'}}, {'option_type': 'reference', 'item': {'index': 'skill-persuasion', 'name': 'Skill: Persuasion', 'url': '/api/proficiencies/skill-persuasion'}}, {'option_type': 'reference', 'item': {'index': 'skill-religion', 'name': 'Skill: Religion', 'url': '/api/proficiencies/skill-religion'}}, {'option_type': 'reference', 'item': {'index': 'skill-sleight-of-hand', 'name': 'Skill: Sleight of Hand', 'url': '/api/proficiencies/skill-sleight-of-hand'}}, {'option_type': 'reference', 'item': {'index': 'skill-stealth', 'name': 'Skill: Stealth', 'url': '/api/proficiencies/skill-stealth'}}, {'option_type': 'reference', 'item': {'index': 'skill-survival', 'name': 'Skill: Survival', 'url': '/api/proficiencies/skill-survival'}}]}}, {'desc': 'musical instrument', 'choose': 1, 'type': 'proficiencies', 'from': {'option_set_type': 'options_array', 'options': [{'option_type': 'reference', 'item': {'index': 'bagpipes', 'name': 'Bagpipes', 'url': '/api/proficiencies/bagpipes'}}, {'option_type': 'reference', 'item': {'index': 'drum', 'name': 'Drum', 'url': '/api/proficiencies/drum'}}, {'option_type': 'reference', 'item': {'index': 'dulcimer', 'name': 'Dulcimer', 'url': '/api/proficiencies/dulcimer'}}, {'option_type': 'reference', 'item': {'index': 'flute', 'name': 'Flute', 'url': '/api/proficiencies/flute'}}, {'option_type': 'reference', 'item': {'index': 'lute', 'name': 'Lute', 'url': '/api/proficiencies/lute'}}, {'option_type': 'reference', 'item': {'index': 'lyre', 'name': 'Lyre', 'url': '/api/proficiencies/lyre'}}, {'option_type': 'reference', 'item': {'index': 'horn', 'name': 'Horn', 'url': '/api/proficiencies/horn'}}, {'option_type': 'reference', 'item': {'index': 'pan-flute', 'name': 'Pan flute', 'url': '/api/proficiencies/pan-flute'}}, {'option_type': 'reference', 'item': {'index': 'shawm', 'name': 'Shawm', 'url': '/api/proficiencies/shawm'}}, {'option_type': 'reference', 'item': {'index': 'viol', 'name': 'Viol', 'url': '/api/proficiencies/viol'}}]}}]}",,,,,,"[{'index': 'light-armor', 'name': 'Light Armor', 'url': '/api/proficiencies/light-armor'}, {'index': 'simple-weapons', 'name': 'Simple Weapons', 'url': '/api/proficiencies/simple-weapons'}, {'index': 'longswords', 'name': 'Longswords', 'url': '/api/proficiencies/longswords'}, {'index': 'rapiers', 'name': 'Rapiers', 'url': '/api/proficiencies/rapiers'}, {'index': 'shortswords', 'name': 'Shortswords', 'url': '/api/proficiencies/shortswords'}, {'index': 'hand-crossbows', 'name': 'Hand crossbows', 'url': '/api/proficiencies/hand-crossbows'}, {'index': 'saving-throw-dex', 'name': 'Saving Throw: DEX', 'url': '/api/proficiencies/saving-throw-dex'}, {'index': 'saving-throw-cha', 'name': 'Saving Throw: CHA', 'url': '/api/proficiencies/saving-throw-cha'}]","{'level': 1, 'spellcasting_ability': {'index': 'cha', 'name': 'CHA', 'url': '/api/ability-scores/cha'}, 'info': [{'name': 'Cantrips', 'desc': ['You know two cantrips of your choice from the bard spell list. You learn additional bard cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Bard table.']}, {'name': 'Spell Slots', 'desc': [""The Bard table shows how many spell slots you have to cast your spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest."", 'For example, if you know the 1st-level spell cure wounds and have a 1st-level and a 2nd-level spell slot available, you can cast cure wounds using either slot.']}, {'name': 'Spells Known of 1st Level and Higher', 'desc': ['You know four 1st-level spells of your choice from the bard spell list.', 'The Spells Known column of the Bard table shows when you learn more bard spells of your choice.', 'Each of these spells must be of a level for which you have spell slots, as shown on the table. For instance, when you reach 3rd level in this class, you can learn one new spell of 1st or 2nd level.', 'Additionally, when you gain a level in this class, you can choose one of the bard spells you know and replace it with another spell from the bard spell list, which also must be of a level for which you have spell slots.']}, {'name': 'Spellcasting Ability', 'desc': ['Charisma is your spellcasting ability for your bard spells. Your magic comes from the heart and soul you pour into the performance of your music or oration. You use your Charisma whenever a spell refers to your spellcasting ability. In addition, you use your Charisma modifier when setting the saving throw DC for a bard spell you cast and when making an attack roll with one.', 'Spell save DC = 8 + your proficiency bonus + your Charisma modifier.', 'Spell attack modifier = your proficiency bonus + your Charisma modifier.']}, {'name': 'Ritual Casting', 'desc': ['You can cast any bard spell you know as a ritual if that spell has the ritual tag.']}, {'name': 'Spellcasting Focus', 'desc': ['You can use a musical instrument (see Equipment) as a spellcasting focus for your bard spells.']}]}",,,,/api/classes/bard/spells,"[{'index': 'dex', 'name': 'DEX', 'url': '/api/ability-scores/dex'}, {'index': 'cha', 'name': 'CHA', 'url': '/api/ability-scores/cha'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
